ax,ay,az,dx,dy,dz,x,y,z
-28.053, -28.529, -1.762, -1.586, -3.200, 0.626, -0.055, 0.003, -0.035
-29.732, -26.987, 9.286, -0.849, -2.943, 0.985, -0.058, 0.001, -0.035
-30.561, -24.802, 24.208, -0.506, -2.745, 1.105, -0.060, -0.001, -0.033
-28.833, -22.234, 29.750, -0.229, -2.997, 1.469, -0.062, -0.002, -0.031
-25.215, -21.702, 29.750, -0.050, -2.417, 1.445, -0.064, -0.004, -0.029
-22.362, -21.910, 29.750, 0.028, -2.303, 1.782, -0.066, -0.006, -0.027
-20.305, -19.063, 29.750, 0.035, -1.627, 1.775, -0.067, -0.007, -0.025
-18.776, -14.413, 29.750, -0.068, -1.429, 2.197, -0.068, -0.008, -0.022
-18.370, -11.274, 29.750, -0.106, -1.027, 2.059, -0.070, -0.009, -0.020
-18.269, -9.065, 29.750, -0.165, -0.950, 2.390, -0.071, -0.010, -0.018
-18.649, -8.218, 29.750, -0.131, -0.746, 2.446, -0.073, -0.010, -0.016
-19.068, -6.865, 29.750, -0.033, -0.455, 2.235, -0.074, -0.011, -0.014
-18.891, -2.120, 29.750, 0.080, -0.228, 2.332, -0.075, -0.011, -0.012
-17.966, 6.633, 29.750, 0.213, -0.029, 2.712, -0.076, -0.011, -0.009
-16.800, 13.842, 29.750, 0.288, 0.170, 2.649, -0.078, -0.010, -0.007
-15.616, 17.182, 29.750, 0.283, 0.343, 2.173, -0.079, -0.008, -0.005
-14.415, 17.435, 29.750, 0.281, 0.622, 2.190, -0.080, -0.007, -0.003
-14.405, 17.806, 29.750, 0.115, 0.780, 1.738, -0.081, -0.006, -0.001
-14.324, 16.791, 29.750, 0.023, 1.055, 1.540, -0.082, -0.005, 0.001
-15.413, 14.709, 29.750, -0.103, 1.510, 1.511, -0.083, -0.004, 0.004
-16.901, 11.027, 29.750, -0.191, 1.826, 1.318, -0.084, -0.003, 0.006
-19.139, 7.460, 29.178, -0.209, 1.887, 1.046, -0.086, -0.002, 0.008
-21.267, 4.438, 21.957, -0.238, 2.386, 1.104, -0.087, -0.002, 0.010
-22.732, 2.774, 13.435, -0.195, 2.325, 0.957, -0.089, -0.002, 0.011
