ax,ay,az,dx,dy,dz,x,y,z
-26.827, -26.125, -21.932, -1.226, -3.570, 0.848, -0.055, -0.005, -0.042
-30.383, -22.192, -15.232, -1.371, -3.764, 1.137, -0.057, -0.007, -0.043
-32.965, -19.172, -9.025, -1.291, -3.521, 1.252, -0.060, -0.009, -0.044
-34.600, -18.861, 0.093, 4.025, 5.625, 1.604, -0.062, -0.010, -0.044
-34.907, -21.836, 14.483, -0.917, -3.340, 1.579, -0.065, -0.011, -0.043
-35.565, -25.915, 29.671, -0.468, -3.806, 2.015, -0.067, -0.014, -0.041
-34.130, -26.086, 29.671, -0.144, -3.194, 2.060, -0.070, -0.015, -0.039
-31.008, -24.409, 29.671, -0.030, -3.258, 2.662, -0.072, -0.017, -0.037
-30.244, -19.723, 29.671, 0.131, -2.458, 2.717, -0.074, -0.018, -0.035
-25.477, -10.340, 29.671, 0.069, -2.147, 3.381, -0.076, -0.019, -0.033
-23.342, 1.952, 29.671, 0.220, -1.347, 3.248, -0.078, -0.019, -0.031
-20.905, 14.485, 29.671, 0.372, -0.805, 3.308, -0.079, -0.019, -0.029
-18.425, 25.768, 29.671, 0.387, -0.306, 3.578, -0.081, -0.017, -0.027
-16.148, 33.762, 29.671, 0.223, 0.279, 3.265, -0.082, -0.014, -0.024
-15.228, 36.737, 29.671, 0.016, 0.728, 2.503, -0.083, -0.012, -0.022
-14.944, 34.043, 29.671, -0.190, 1.297, 2.316, -0.084, -0.009, -0.020
-16.250, 28.350, 29.249, -0.351, 1.498, 1.671, -0.085, -0.007, -0.018
-16.169, 27.787, 16.813, -0.557, 1.984, 1.605, -0.087, -0.005, -0.016
-15.104, 33.013, 5.901, -0.684, 1.974, 1.254, -0.088, -0.003, -0.016
-13.921, 37.927, -2.846, 0.077, 1.831, 1.103, -0.089, 0.000, -0.016
-12.459, 37.979, -8.409, -0.095, 1.938, 0.667, -0.090, 0.003, -0.017
-11.846, 31.852, -11.500, -0.061, 1.664, 0.158, -0.090, 0.005, -0.017
-11.266, 26.490, -12.856, -0.094, 1.584, -0.181, -0.091, 0.007, -0.018
